gene1,gene2,weight
GENE0000,GENE0052,1.0
GENE0001,GENE0007,1.0
GENE0001,GENE0041,1.0
GENE0001,GENE0197,1.0
GENE0002,GENE0028,1.0
GENE0002,GENE0124,1.0
GENE0002,GENE0140,1.0
GENE0003,GENE0004,1.0
GENE0003,GENE0056,1.0
GENE0003,GENE0092,1.0
GENE0003,GENE0150,1.0
GENE0003,GENE0153,1.0
GENE0003,GENE0175,1.0
GENE0003,GENE0184,1.0
GENE0004,GENE0011,1.0
GENE0004,GENE0025,1.0
GENE0004,GENE0026,1.0
GENE0004,GENE0040,1.0
GENE0004,GENE0055,1.0
GENE0005,GENE0018,1.0
GENE0005,GENE0065,1.0
GENE0005,GENE0121,1.0
GENE0005,GENE0178,1.0
GENE0006,GENE0048,1.0
GENE0006,GENE0141,1.0
GENE0006,GENE0150,1.0
GENE0008,GENE0012,1.0
GENE0008,GENE0061,1.0
GENE0009,GENE0091,1.0
GENE0009,GENE0165,1.0
GENE0009,GENE0183,1.0
GENE0010,GENE0014,1.0
GENE0010,GENE0017,1.0
GENE0010,GENE0088,1.0
GENE0010,GENE0117,1.0
GENE0010,GENE0180,1.0
GENE0011,GENE0176,1.0
GENE0012,GENE0074,1.0
GENE0012,GENE0084,1.0
GENE0013,GENE0038,1.0
GENE0013,GENE0043,1.0
GENE0013,GENE0075,1.0
GENE0013,GENE0089,1.0
GENE0014,GENE0038,1.0
GENE0014,GENE0050,1.0
GENE0014,GENE0199,1.0
GENE0015,GENE0057,1.0
GENE0015,GENE0075,1.0
GENE0015,GENE0093,1.0
GENE0015,GENE0173,1.0
GENE0016,GENE0023,1.0
GENE0016,GENE0103,1.0
GENE0016,GENE0131,1.0
GENE0016,GENE0159,1.0
GENE0016,GENE0170,1.0
GENE0017,GENE0091,1.0
GENE0017,GENE0147,1.0
GENE0018,GENE0028,1.0
GENE0018,GENE0042,1.0
GENE0018,GENE0052,1.0
GENE0018,GENE0081,1.0
GENE0018,GENE0092,1.0
GENE0018,GENE0121,1.0
GENE0018,GENE0195,1.0
GENE0020,GENE0031,1.0
GENE0020,GENE0107,1.0
GENE0020,GENE0109,1.0
GENE0021,GENE0048,1.0
GENE0022,GENE0031,1.0
GENE0022,GENE0042,1.0
GENE0022,GENE0097,1.0
GENE0022,GENE0156,1.0
GENE0022,GENE0180,1.0
GENE0022,GENE0190,1.0
GENE0023,GENE0036,1.0
GENE0023,GENE0102,1.0
GENE0023,GENE0117,1.0
GENE0023,GENE0118,1.0
GENE0024,GENE0025,1.0
GENE0024,GENE0077,1.0
GENE0024,GENE0166,1.0
GENE0025,GENE0123,1.0
GENE0025,GENE0125,1.0
GENE0025,GENE0142,1.0
GENE0025,GENE0166,1.0
GENE0025,GENE0188,1.0
GENE0026,GENE0143,1.0
GENE0026,GENE0168,1.0
GENE0027,GENE0036,1.0
GENE0027,GENE0161,1.0
GENE0027,GENE0183,1.0
GENE0027,GENE0188,1.0
GENE0028,GENE0040,1.0
GENE0028,GENE0062,1.0
GENE0028,GENE0139,1.0
GENE0029,GENE0088,1.0
GENE0029,GENE0115,1.0
GENE0029,GENE0146,1.0
GENE0030,GENE0035,1.0
GENE0030,GENE0067,1.0
GENE0030,GENE0089,1.0
GENE0030,GENE0120,1.0
GENE0030,GENE0157,1.0
GENE0030,GENE0181,1.0
GENE0032,GENE0082,1.0
GENE0032,GENE0121,1.0
GENE0032,GENE0173,1.0
GENE0033,GENE0036,1.0
GENE0033,GENE0067,1.0
GENE0033,GENE0114,1.0
GENE0033,GENE0122,1.0
GENE0033,GENE0153,1.0
GENE0035,GENE0068,1.0
GENE0035,GENE0076,1.0
GENE0035,GENE0161,1.0
GENE0036,GENE0089,1.0
GENE0036,GENE0103,1.0
GENE0036,GENE0112,1.0
GENE0036,GENE0125,1.0
GENE0036,GENE0127,1.0
GENE0037,GENE0077,1.0
GENE0037,GENE0084,1.0
GENE0037,GENE0091,1.0
GENE0037,GENE0167,1.0
GENE0038,GENE0077,1.0
GENE0038,GENE0168,1.0
GENE0038,GENE0188,1.0
GENE0038,GENE0192,1.0
GENE0039,GENE0050,1.0
GENE0039,GENE0081,1.0
GENE0039,GENE0119,1.0
GENE0039,GENE0141,1.0
GENE0039,GENE0195,1.0
GENE0040,GENE0063,1.0
GENE0041,GENE0094,1.0
GENE0041,GENE0108,1.0
GENE0041,GENE0137,1.0
GENE0041,GENE0168,1.0
GENE0041,GENE0190,1.0
GENE0042,GENE0065,1.0
GENE0042,GENE0095,1.0
GENE0042,GENE0120,1.0
GENE0042,GENE0124,1.0
GENE0042,GENE0181,1.0
GENE0043,GENE0155,1.0
GENE0044,GENE0101,1.0
GENE0044,GENE0163,1.0
GENE0045,GENE0054,1.0
GENE0045,GENE0095,1.0
GENE0045,GENE0115,1.0
GENE0045,GENE0157,1.0
GENE0047,GENE0069,1.0
GENE0047,GENE0074,1.0
GENE0048,GENE0055,1.0
GENE0048,GENE0105,1.0
GENE0048,GENE0124,1.0
GENE0048,GENE0125,1.0
GENE0048,GENE0166,1.0
GENE0049,GENE0058,1.0
GENE0049,GENE0107,1.0
GENE0049,GENE0114,1.0
GENE0049,GENE0167,1.0
GENE0049,GENE0189,1.0
GENE0050,GENE0066,1.0
GENE0050,GENE0198,1.0
GENE0051,GENE0100,1.0
GENE0051,GENE0115,1.0
GENE0051,GENE0136,1.0
GENE0051,GENE0182,1.0
GENE0053,GENE0099,1.0
GENE0053,GENE0189,1.0
GENE0054,GENE0081,1.0
GENE0054,GENE0129,1.0
GENE0055,GENE0068,1.0
GENE0056,GENE0069,1.0
GENE0056,GENE0138,1.0
GENE0056,GENE0167,1.0
GENE0056,GENE0172,1.0
GENE0057,GENE0107,1.0
GENE0057,GENE0128,1.0
GENE0057,GENE0146,1.0
GENE0057,GENE0177,1.0
GENE0058,GENE0062,1.0
GENE0058,GENE0120,1.0
GENE0058,GENE0134,1.0
GENE0058,GENE0135,1.0
GENE0058,GENE0151,1.0
GENE0059,GENE0070,1.0
GENE0059,GENE0080,1.0
GENE0059,GENE0086,1.0
GENE0059,GENE0144,1.0
GENE0059,GENE0156,1.0
GENE0059,GENE0170,1.0
GENE0059,GENE0176,1.0
GENE0060,GENE0085,1.0
GENE0060,GENE0101,1.0
GENE0060,GENE0103,1.0
GENE0060,GENE0108,1.0
GENE0060,GENE0132,1.0
GENE0061,GENE0078,1.0
GENE0061,GENE0086,1.0
GENE0061,GENE0095,1.0
GENE0061,GENE0124,1.0
GENE0061,GENE0132,1.0
GENE0061,GENE0171,1.0
GENE0061,GENE0183,1.0
GENE0062,GENE0078,1.0
GENE0062,GENE0124,1.0
GENE0062,GENE0138,1.0
GENE0063,GENE0198,1.0
GENE0065,GENE0130,1.0
GENE0067,GENE0112,1.0
GENE0067,GENE0127,1.0
GENE0067,GENE0142,1.0
GENE0068,GENE0123,1.0
GENE0068,GENE0132,1.0
GENE0069,GENE0144,1.0
GENE0069,GENE0181,1.0
GENE0069,GENE0192,1.0
GENE0070,GENE0079,1.0
GENE0070,GENE0165,1.0
GENE0071,GENE0102,1.0
GENE0071,GENE0196,1.0
GENE0072,GENE0077,1.0
GENE0072,GENE0086,1.0
GENE0072,GENE0140,1.0
GENE0072,GENE0174,1.0
GENE0072,GENE0190,1.0
GENE0074,GENE0159,1.0
GENE0075,GENE0112,1.0
GENE0075,GENE0152,1.0
GENE0075,GENE0183,1.0
GENE0076,GENE0176,1.0
GENE0077,GENE0098,1.0
GENE0077,GENE0104,1.0
GENE0077,GENE0118,1.0
GENE0077,GENE0171,1.0
GENE0077,GENE0191,1.0
GENE0078,GENE0087,1.0
GENE0078,GENE0196,1.0
GENE0080,GENE0098,1.0
GENE0080,GENE0114,1.0
GENE0082,GENE0116,1.0
GENE0082,GENE0120,1.0
GENE0082,GENE0151,1.0
GENE0082,GENE0160,1.0
GENE0083,GENE0111,1.0
GENE0083,GENE0168,1.0
GENE0083,GENE0171,1.0
GENE0084,GENE0106,1.0
GENE0084,GENE0110,1.0
GENE0084,GENE0136,1.0
GENE0084,GENE0149,1.0
GENE0084,GENE0167,1.0
GENE0087,GENE0122,1.0
GENE0087,GENE0134,1.0
GENE0087,GENE0152,1.0
GENE0088,GENE0095,1.0
GENE0088,GENE0133,1.0
GENE0088,GENE0188,1.0
GENE0089,GENE0124,1.0
GENE0090,GENE0097,1.0
GENE0090,GENE0177,1.0
GENE0091,GENE0164,1.0
GENE0092,GENE0190,1.0
GENE0092,GENE0197,1.0
GENE0093,GENE0104,1.0
GENE0093,GENE0113,1.0
GENE0093,GENE0118,1.0
GENE0093,GENE0121,1.0
GENE0094,GENE0106,1.0
GENE0094,GENE0110,1.0
GENE0094,GENE0171,1.0
GENE0095,GENE0127,1.0
GENE0096,GENE0163,1.0
GENE0097,GENE0115,1.0
GENE0097,GENE0154,1.0
GENE0098,GENE0129,1.0
GENE0098,GENE0157,1.0
GENE0098,GENE0159,1.0
GENE0098,GENE0163,1.0
GENE0099,GENE0117,1.0
GENE0099,GENE0130,1.0
GENE0099,GENE0196,1.0
GENE0100,GENE0186,1.0
GENE0102,GENE0174,1.0
GENE0103,GENE0125,1.0
GENE0103,GENE0192,1.0
GENE0103,GENE0195,1.0
GENE0104,GENE0121,1.0
GENE0104,GENE0184,1.0
GENE0104,GENE0188,1.0
GENE0106,GENE0147,1.0
GENE0106,GENE0169,1.0
GENE0107,GENE0129,1.0
GENE0107,GENE0163,1.0
GENE0107,GENE0183,1.0
GENE0107,GENE0195,1.0
GENE0108,GENE0116,1.0
GENE0108,GENE0161,1.0
GENE0108,GENE0166,1.0
GENE0108,GENE0175,1.0
GENE0108,GENE0180,1.0
GENE0108,GENE0193,1.0
GENE0110,GENE0121,1.0
GENE0110,GENE0136,1.0
GENE0110,GENE0151,1.0
GENE0110,GENE0162,1.0
GENE0111,GENE0144,1.0
GENE0112,GENE0128,1.0
GENE0113,GENE0164,1.0
GENE0113,GENE0168,1.0
GENE0113,GENE0198,1.0
GENE0115,GENE0129,1.0
GENE0117,GENE0180,1.0
GENE0118,GENE0122,1.0
GENE0118,GENE0164,1.0
GENE0118,GENE0170,1.0
GENE0118,GENE0172,1.0
