gene_id,gene_name,ground_truth,genetic_association,gene_expression,druggability,literature_velocity
GENE0000,Gene0000,0,0.43715191887233074,0.8294286148827363,0.851131099761935,0.7394314684765099
GENE0001,Gene0001,0,0.8326781960578374,0.7968170883251617,0.15521299244109088,0.8008715921066321
GENE0002,Gene0002,0,0.7002651020022491,0.2326407419664337,0.7346210919351616,0.048963709823279244
GENE0003,Gene0003,0,0.31236664138204107,0.5307695905990535,0.1930414908689041,0.23453515044129858
GENE0004,Gene0004,0,0.8322598013952011,0.6060158207000109,0.27075875131780025,0.6218977733752458
GENE0005,Gene0005,0,0.8047643574968019,0.8677389537760112,0.7099046972813039,0.8581253046248232
GENE0006,Gene0006,0,0.38747837903017446,0.6031071573387257,0.9802047848986818,0.0045001249396591225
GENE0007,Gene0007,0,0.2883281039302441,0.4125715692736803,0.6115436059770696,0.5146293421163498
GENE0008,Gene0008,0,0.6824955039749755,0.3741840434071827,0.054500314991295595,0.6772873993643972
GENE0009,Gene0009,0,0.1397524836093098,0.4258820863735099,0.6163089699275328,0.029607289128613212
GENE0010,Gene0010,0,0.19990820247510832,0.6519310255799742,0.042350551580167095,0.4013555575533879
GENE0011,Gene0011,0,0.007362269751005512,0.8674906317523249,0.8841457113668172,0.8956348813836968
GENE0012,Gene0012,1,0.7869243775021384,0.45389688207629975,0.7095782851006207,0.6716128088558587
GENE0013,Gene0013,0,0.6648508565920321,0.24783956295135812,0.17312784642250323,0.2376583633605973
GENE0014,Gene0014,1,0.7051653786263351,0.23666236299758114,0.09172100582419807,0.8527811296319127
GENE0015,Gene0015,0,0.7807290310219679,0.7460142802434464,0.18353322888031898,0.3480314234095143
GENE0016,Gene0016,1,0.45891577553833995,0.8165687634239104,0.9800271795541925,0.8533446711440594
GENE0017,Gene0017,1,0.5687411959528937,0.10527807985412496,0.4585606424584898,0.29894365111890553
GENE0018,Gene0018,0,0.13979699812765745,0.06655885695517816,0.784080948341408,0.590320250883149
GENE0019,Gene0019,0,0.11453007353597344,0.5944336637564518,0.6364083421077769,0.3969400677478341
GENE0020,Gene0020,0,0.6684029617904717,0.14617324419269828,0.5724131499586373,0.274825050755067
GENE0021,Gene0021,0,0.4710962061431325,0.8246641904563413,0.1451302546650497,0.8865575621718692
GENE0022,Gene0022,1,0.5652361064811888,0.31033467392407443,0.9460244535580951,0.18759368193949133
GENE0023,Gene0023,0,0.7649988574160256,0.14387193297114265,0.30134263251471793,0.0848115912357631
GENE0024,Gene0024,0,0.6347183200005908,0.9209704724874502,0.5780172158075422,0.34192693854566036
GENE0025,Gene0025,0,0.5535794006579958,0.16553172273527816,0.6997759445890661,0.7176391476415676
